!! Predictions spanning range 4750 - 148622 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 18.13 4750-5823 orient(-) score(306378.00) noncoding_equivalent(16896.00) raw_noncoding(16896.00) offset(0.00) 
5823	4750	single-	4	6	{GlimmerHMM_glimmerT_1105-T1;GlimmerHMM},{GeneMark_model.1112_t;GeneMark}
122498	122605	INTRON			{Augustus_model.g1014.t1;Augustus},{GlimmerHMM_glimmerT_1133-T1;GlimmerHMM},{GeneMark_model.1138_t;GeneMark}
122606	122684	internal+	2	2	{Augustus_model.g1014.t1;Augustus},{GlimmerHMM_glimmerT_1133-T1;GlimmerHMM},{GeneMark_model.1138_t;GeneMark}
122685	122942	INTRON			{GlimmerHMM_glimmerT_1133-T1;GlimmerHMM},{snap_scaffold_1-snap.981-T1;snap}
122943	123434	internal+	3	2	{GlimmerHMM_glimmerT_1133-T1;GlimmerHMM},{snap_scaffold_1-snap.981-T1;snap}
123435	123522	INTRON			{Augustus_model.g1014.t1;Augustus},{GlimmerHMM_glimmerT_1133-T1;GlimmerHMM},{snap_scaffold_1-snap.981-T1;snap},{GeneMark_model.1138_t;GeneMark}
123523	123595	terminal+	3	3	{Augustus_model.g1014.t1;Augustus},{GlimmerHMM_glimmerT_1133-T1;GlimmerHMM},{snap_scaffold_1-snap.981-T1;snap},{GeneMark_model.1138_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 5.16 123940-124728 orient(+) score(233089.00) noncoding_equivalent(45185.12) raw_noncoding(45787.12) offset(602.00) 
123940	124083	initial+	1	3	{GeneMark_model.1139_t;GeneMark},{GlimmerHMM_glimmerT_1134-T1;GlimmerHMM},{Augustus_model.g1015.t1;Augustus}
124084	124221	INTRON			{snap_scaffold_1-snap.982-T1;snap},{GeneMark_model.1139_t;GeneMark},{GlimmerHMM_glimmerT_1134-T1;GlimmerHMM},{Augustus_model.g1015.t1;Augustus}
124222	124728	terminal+	1	3	{snap_scaffold_1-snap.982-T1;snap},{GeneMark_model.1139_t;GeneMark},{GlimmerHMM_glimmerT_1134-T1;GlimmerHMM},{Augustus_model.g1015.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 12.99 125067-126144 orient(-) score(324478.00) noncoding_equivalent(24983.00) raw_noncoding(25585.00) offset(602.00) 
125677	125067	terminal-	5	6	{snap_scaffold_1-snap.983-T1;snap},{GlimmerHMM_glimmerT_1135-T1;GlimmerHMM},{GeneMark_model.1140_t;GeneMark},{Augustus_model.g1016.t1;Augustus}
125762	125678	INTRON			{snap_scaffold_1-snap.983-T1;snap},{GlimmerHMM_glimmerT_1135-T1;GlimmerHMM},{GeneMark_model.1140_t;GeneMark},{Augustus_model.g1016.t1;Augustus}
126144	125763	initial-	4	4	{GlimmerHMM_glimmerT_1135-T1;GlimmerHMM},{GeneMark_model.1140_t;GeneMark},{Augustus_model.g1016.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10.04 126780-128231 orient(-) score(423052.00) noncoding_equivalent(42152.00) raw_noncoding(46656.00) offset(4504.00) 
126941	126780	terminal-	4	6	{snap_scaffold_1-snap.984-T1;snap},{GlimmerHMM_glimmerT_1136-T1;GlimmerHMM},{Augustus_model.g1017.t1;Augustus},{GeneMark_model.1141_t;GeneMark}
127008	126942	INTRON			{snap_scaffold_1-snap.984-T1;snap},{GlimmerHMM_glimmerT_1136-T1;GlimmerHMM},{Augustus_model.g1017.t1;Augustus},{GeneMark_model.1141_t;GeneMark}
127731	127009	internal-	4	6	{snap_scaffold_1-snap.984-T1;snap},{GlimmerHMM_glimmerT_1136-T1;GlimmerHMM},{Augustus_model.g1017.t1;Augustus},{GeneMark_model.1141_t;GeneMark}
127820	127732	INTRON			{GlimmerHMM_glimmerT_1136-T1;GlimmerHMM},{Augustus_model.g1017.t1;Augustus},{GeneMark_model.1141_t;GeneMark}
128231	127821	initial-	4	6	{GlimmerHMM_glimmerT_1136-T1;GlimmerHMM},{Augustus_model.g1017.t1;Augustus},{GeneMark_model.1141_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 6.98 129047-132027 orient(+) score(834126.00) noncoding_equivalent(119508.39) raw_noncoding(170039.00) offset(50530.61) 
129047	129797	initial+	1	1	{GlimmerHMM_glimmerT_1137-T1;GlimmerHMM}
129798	129875	INTRON			{GlimmerHMM_glimmerT_1137-T1;GlimmerHMM},{GeneMark_model.1142_t;GeneMark},{Augustus_model.g1018.t1;Augustus}
129876	130215	internal+	2	2	{GeneMark_model.1142_t;GeneMark},{Augustus_model.g1018.t1;Augustus},{snap_scaffold_1-snap.985-T1;snap}
130216	130249	INTRON			{snap_scaffold_1-snap.985-T1;snap}
130250	130489	internal+	3	2	{GlimmerHMM_glimmerT_1137-T1;GlimmerHMM},{snap_scaffold_1-snap.985-T1;snap}
130490	130555	INTRON			{GlimmerHMM_glimmerT_1137-T1;GlimmerHMM},{GeneMark_model.1142_t;GeneMark},{Augustus_model.g1018.t1;Augustus},{snap_scaffold_1-snap.985-T1;snap}
130556	130751	internal+	3	3	{GeneMark_model.1142_t;GeneMark},{Augustus_model.g1018.t1;Augustus},{snap_scaffold_1-snap.985-T1;snap}
130752	130861	INTRON			{GeneMark_model.1142_t;GeneMark},{Augustus_model.g1018.t1;Augustus},{snap_scaffold_1-snap.985-T1;snap}
130862	131067	internal+	1	2	{GeneMark_model.1142_t;GeneMark},{Augustus_model.g1018.t1;Augustus},{snap_scaffold_1-snap.985-T1;snap}
131068	131151	INTRON			{GlimmerHMM_glimmerT_1137-T1;GlimmerHMM},{GeneMark_model.1142_t;GeneMark},{Augustus_model.g1018.t1;Augustus}
131152	131178	internal+	3	2	{GlimmerHMM_glimmerT_1137-T1;GlimmerHMM},{GeneMark_model.1142_t;GeneMark},{Augustus_model.g1018.t1;Augustus}
131179	131245	INTRON			{GlimmerHMM_glimmerT_1137-T1;GlimmerHMM},{GeneMark_model.1142_t;GeneMark},{Augustus_model.g1018.t1;Augustus}
131246	131460	internal+	3	1	{GlimmerHMM_glimmerT_1137-T1;GlimmerHMM},{GeneMark_model.1142_t;GeneMark},{Augustus_model.g1018.t1;Augustus},{snap_scaffold_1-snap.985-T1;snap}
131461	131539	INTRON			{GlimmerHMM_glimmerT_1137-T1;GlimmerHMM},{GeneMark_model.1142_t;GeneMark},{Augustus_model.g1018.t1;Augustus}
131540	132027	terminal+	2	3	{GlimmerHMM_glimmerT_1137-T1;GlimmerHMM},{GeneMark_model.1142_t;GeneMark},{Augustus_model.g1018.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 2.83 132489-136097 orient(-) score(858097.00) noncoding_equivalent(303425.40) raw_noncoding(422190.00) offset(118764.60) 
133350	132489	terminal-	6	6	{snap_scaffold_1-snap.986-T1;snap},{Augustus_model.g1019.t1;Augustus},{GeneMark_model.1143_t;GeneMark}
133428	133351	INTRON			{snap_scaffold_1-snap.986-T1;snap},{Augustus_model.g1019.t1;Augustus},{GeneMark_model.1143_t;GeneMark}
134110	133429	internal-	5	5	{snap_scaffold_1-snap.986-T1;snap},{Augustus_model.g1019.t1;Augustus},{GeneMark_model.1143_t;GeneMark}
134210	134111	INTRON			{snap_scaffold_1-snap.986-T1;snap},{Augustus_model.g1019.t1;Augustus},{GeneMark_model.1143_t;GeneMark}
134562	134211	internal-	4	4	{GeneMark_model.1143_t;GeneMark}
134639	134563	INTRON			{GeneMark_model.1143_t;GeneMark}
134848	134640	internal-	5	6	{GeneMark_model.1143_t;GeneMark}
134909	134849	INTRON			{GeneMark_model.1143_t;GeneMark}
135291	134910	internal-	4	4	{GlimmerHMM_glimmerT_1138-T1;GlimmerHMM},{snap_scaffold_1-snap.986-T1;snap},{GeneMark_model.1143_t;GeneMark}
136016	135292	INTRON			{GlimmerHMM_glimmerT_1138-T1;GlimmerHMM},{GeneMark_model.1143_t;GeneMark}
136097	136017	initial-	4	6	{GlimmerHMM_glimmerT_1138-T1;GlimmerHMM},{GeneMark_model.1143_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 9.74 140242-141683 orient(-) score(408042.00) noncoding_equivalent(41897.25) raw_noncoding(57461.00) offset(15563.75) 
141458	140242	terminal-	5	6	{GeneMark_model.1144_t;GeneMark},{GlimmerHMM_glimmerT_1139-T1;GlimmerHMM},{Augustus_model.g1020.t1;Augustus}
141619	141459	INTRON			{GeneMark_model.1144_t;GeneMark},{GlimmerHMM_glimmerT_1139-T1;GlimmerHMM},{Augustus_model.g1020.t1;Augustus}
141683	141620	initial-	4	4	{GeneMark_model.1144_t;GeneMark},{GlimmerHMM_glimmerT_1139-T1;GlimmerHMM},{Augustus_model.g1020.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 11.18 142405-143370 orient(+) score(266166.00) noncoding_equivalent(23800.00) raw_noncoding(23800.00) offset(0.00) 
142405	143370	single+	1	3	{GlimmerHMM_glimmerT_1140-T1;GlimmerHMM},{Augustus_model.g1021.t1;Augustus},{GeneMark_model.1145_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 21.88 146250-148622 orient(+) score(695592.00) noncoding_equivalent(31787.66) raw_noncoding(40650.00) offset(8862.34) 
146250	146497	initial+	1	2	{GeneMark_model.1146_t;GeneMark},{GlimmerHMM_glimmerT_1141-T1;GlimmerHMM},{Augustus_model.g1022.t1;Augustus}
146498	146557	INTRON			{GeneMark_model.1146_t;GeneMark}
146558	146706	internal+	3	1	{GeneMark_model.1146_t;GeneMark}
146707	146775	INTRON			{GeneMark_model.1146_t;GeneMark},{snap_scaffold_1-snap.989-T1;snap},{GlimmerHMM_glimmerT_1141-T1;GlimmerHMM},{Augustus_model.g1022.t1;Augustus}
146776	148622	terminal+	2	3	{GeneMark_model.1146_t;GeneMark},{snap_scaffold_1-snap.989-T1;snap},{GlimmerHMM_glimmerT_1141-T1;GlimmerHMM},{Augustus_model.g1022.t1;Augustus}

