!! Predictions spanning range 2099 - 101418 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 294.41 2099-7564 orient(+) score(1639700.00) noncoding_equivalent(5569.51) raw_noncoding(5569.51) offset(0.00) 
2099	7564	single+	1	3	{GlimmerHMM_glimmerT_3793-T1;GlimmerHMM}
90194	90539	terminal+	3	3	{snap_scaffold_4-snap.655-T1;snap},{GeneMark_model.3319_t;GeneMark},{GlimmerHMM_glimmerT_3822-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 18.76 92153-95722 orient(+) score(1071000.00) noncoding_equivalent(57091.00) raw_noncoding(58470.00) offset(1379.00) 
92153	92553	initial+	1	2	{GlimmerHMM_glimmerT_3823-T1;GlimmerHMM},{GeneMark_model.3320_t;GeneMark},{snap_scaffold_4-snap.656-T1;snap}
92554	92659	INTRON			{GlimmerHMM_glimmerT_3823-T1;GlimmerHMM},{GeneMark_model.3320_t;GeneMark},{snap_scaffold_4-snap.656-T1;snap}
92660	93268	internal+	3	2	{GlimmerHMM_glimmerT_3823-T1;GlimmerHMM},{GeneMark_model.3320_t;GeneMark},{snap_scaffold_4-snap.656-T1;snap}
93269	93345	INTRON			{GlimmerHMM_glimmerT_3823-T1;GlimmerHMM},{GeneMark_model.3320_t;GeneMark},{snap_scaffold_4-snap.656-T1;snap}
93346	95722	terminal+	3	3	{GlimmerHMM_glimmerT_3823-T1;GlimmerHMM},{GeneMark_model.3320_t;GeneMark},{snap_scaffold_4-snap.656-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 22.97 96384-97091 orient(-) score(141600.00) noncoding_equivalent(6164.56) raw_noncoding(6164.56) offset(0.00) 
97091	96384	single-	4	6	{GlimmerHMM_glimmerT_3824-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 11.11 99129-101418 orient(-) score(663800.00) noncoding_equivalent(62301.00) raw_noncoding(77431.00) offset(15130.00) 
101143	99129	terminal-	5	6	{GeneMark_model.3322_t;GeneMark},{GlimmerHMM_glimmerT_3825-T1;GlimmerHMM}
101375	101144	INTRON			{GeneMark_model.3322_t;GeneMark},{GlimmerHMM_glimmerT_3825-T1;GlimmerHMM}
101418	101376	initial-	4	4	{snap_scaffold_4-snap.658-T1;snap}

