!! Predictions spanning range 2681 - 94540 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 135.80 2681-4480 orient(-) score(537700.00) noncoding_equivalent(3959.54) raw_noncoding(3959.54) offset(0.00) 
4480	2681	single-	4	6	{GeneMark_model.1731_t;GeneMark},{Augustus_model.g1457.t1;Augustus},{GlimmerHMM_glimmerT_1989-T1;GlimmerHMM}
86223	86358	INTRON			{GeneMark_model.1761_t;GeneMark},{snap_scaffold_2-snap.816-T1;snap},{Augustus_model.g1482.t1;Augustus},{GlimmerHMM_glimmerT_2021-T1;GlimmerHMM}
86359	86991	terminal+	1	3	{GeneMark_model.1761_t;GeneMark},{snap_scaffold_2-snap.816-T1;snap},{GlimmerHMM_glimmerT_2021-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 4.11 87536-88843 orient(+) score(326096.00) noncoding_equivalent(79277.59) raw_noncoding(113185.53) offset(33907.94) 
87536	87698	initial+	1	1	{snap_scaffold_2-snap.817-T1;snap}
87699	87857	INTRON			{snap_scaffold_2-snap.817-T1;snap}
87858	87983	internal+	2	1	{snap_scaffold_2-snap.817-T1;snap}
87984	88047	INTRON			{GeneMark_model.1762_t;GeneMark},{snap_scaffold_2-snap.817-T1;snap}
88048	88628	internal+	2	3	{GeneMark_model.1762_t;GeneMark},{GlimmerHMM_glimmerT_2022-T1;GlimmerHMM},{snap_scaffold_2-snap.817-T1;snap},{Augustus_model.g1482.t1;Augustus}
88629	88702	INTRON			{GeneMark_model.1762_t;GeneMark},{GlimmerHMM_glimmerT_2022-T1;GlimmerHMM},{snap_scaffold_2-snap.817-T1;snap},{Augustus_model.g1482.t1;Augustus}
88703	88843	terminal+	1	3	{GeneMark_model.1762_t;GeneMark},{snap_scaffold_2-snap.817-T1;snap},{Augustus_model.g1482.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 18.53 89657-93013 orient(+) score(939157.00) noncoding_equivalent(50675.37) raw_noncoding(92376.28) offset(41700.92) 
89657	89693	initial+	1	1	{GeneMark_model.1763_t;GeneMark},{snap_scaffold_2-snap.818-T1;snap},{Augustus_model.g1483.t1;Augustus}
89694	89773	INTRON			{GeneMark_model.1763_t;GeneMark},{Augustus_model.g1483.t1;Augustus}
89774	89813	internal+	2	2	{GeneMark_model.1763_t;GeneMark},{Augustus_model.g1483.t1;Augustus}
89814	89879	INTRON			{GeneMark_model.1763_t;GeneMark},{Augustus_model.g1483.t1;Augustus}
89880	89999	internal+	3	2	{GeneMark_model.1763_t;GeneMark},{Augustus_model.g1483.t1;Augustus}
90000	90063	INTRON			{GeneMark_model.1763_t;GeneMark},{Augustus_model.g1483.t1;Augustus}
90064	93013	terminal+	3	3	{GlimmerHMM_glimmerT_2022-T1;GlimmerHMM},{GeneMark_model.1763_t;GeneMark},{Augustus_model.g1483.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 3.63 93576-94540 orient(-) score(250965.00) noncoding_equivalent(69130.17) raw_noncoding(86091.80) offset(16961.63) 
93630	93576	terminal-	6	6	{GeneMark_model.1764_t;GeneMark},{Augustus_model.g1484.t1;Augustus}
93726	93631	INTRON			{GeneMark_model.1764_t;GeneMark},{Augustus_model.g1484.t1;Augustus}
94283	93727	internal-	4	5	{snap_scaffold_2-snap.819-T1;snap},{Augustus_model.g1484.t1;Augustus}
94414	94284	INTRON			{GeneMark_model.1764_t;GeneMark},{snap_scaffold_2-snap.819-T1;snap},{Augustus_model.g1484.t1;Augustus},{GlimmerHMM_glimmerT_2023-T1;GlimmerHMM}
94540	94415	initial-	4	6	{snap_scaffold_2-snap.819-T1;snap},{Augustus_model.g1484.t1;Augustus},{GlimmerHMM_glimmerT_2023-T1;GlimmerHMM}

